,Asphalt,Meadows,Gravel,Trees,Painted metal sheets,Bare Soil,Bitumen,Self-Blocking Bricks,Shadows,accuracy,macro avg,weighted avg
precision,0.8755733944954128,0.9079917428487172,0.8333333333333334,0.962681409813407,0.9970282317979198,0.965478841870824,0.8568627450980392,0.7870846981750117,1.0,0.9003646904806434,0.9095593774925183,0.9028222104106359
recall,0.9209891435464415,0.9906692406692407,0.5481410867492851,0.9092689295039165,0.9970282317979198,0.6897374701670644,0.6571428571428571,0.9136338946224878,1.0,0.9003646904806434,0.8474012060221346,0.9003646904806434
f1-score,0.8977072310405644,0.9475303892906601,0.6612995974698103,0.9352131587781135,0.9970282317979198,0.8046403712296983,0.7438297872340426,0.8456510809451986,1.0,0.9003646904806434,0.8703222053095564,0.8957067844900289
support,3316.0,9324.0,1049.0,1532.0,673.0,2514.0,665.0,1841.0,474.0,0.9003646904806434,21388.0,21388.0
