,Asphalt,Meadows,Gravel,Trees,Painted metal sheets,Bare Soil,Bitumen,Self-Blocking Bricks,Shadows,accuracy,macro avg,weighted avg
precision,0.9354545454545454,0.9374042683549474,0.8668796592119276,0.946949602122016,0.9970238095238095,0.9490960989533778,0.8872549019607843,0.8460764587525151,1.0,0.9291658874135029,0.9295710382593249,0.9295438615475342
recall,0.9309408926417371,0.9845559845559846,0.7759771210676835,0.9321148825065274,0.9955423476968797,0.7935560859188544,0.8165413533834587,0.9136338946224878,1.0,0.9291658874135029,0.9047625069326237,0.9291658874135029
f1-score,0.9331922611850061,0.9604017366741644,0.8189134808853119,0.9394736842105263,0.9962825278810409,0.8643847487001733,0.8504306969459671,0.8785583703316793,1.0,0.9291658874135029,0.9157375007570967,0.9280011702470766
support,3316.0,9324.0,1049.0,1532.0,673.0,2514.0,665.0,1841.0,474.0,0.9291658874135029,21388.0,21388.0
